Code,Description
A00,Cholera
A000,"Cholera due to Vibrio cholerae 01, biovar cholerae"
A001,"Cholera due to Vibrio cholerae 01, biovar eltor"
A009,"Cholera, unspecified"
A01,Typhoid and paratyphoid fevers
A010,Typhoid fever
A011,Paratyphoid fever A
A012,Paratyphoid fever B
A013,Paratyphoid fever C
A014,"Paratyphoid fever, unspecified"
A02,Other salmonella infections
A020,Salmonella enteritis
A021,Salmonella sepsis
A022,Localized salmonella infections
A028,Other specified salmonella infections
A029,"Salmonella infection, unspecified"
A03,Shigellosis
A030,Shigellosis due to Shigella dysenteriae
A031,Shigellosis due to Shigella flexneri
A032,Shigellosis due to Shigella boydii
A033,Shigellosis due to Shigella sonnei
A038,Other shigellosis
A039,"Shigellosis, unspecified"
A04,Other bacterial intestinal infections
A040,Enteropathogenic Escherichia coli infection
A041,Enterotoxigenic Escherichia coli infection
A042,Enteroinvasive Escherichia coli infection
A043,Enterohaemorrhagic Escherichia coli infection
A044,Other intestinal Escherichia coli infections
A045,Campylobacter enteritis
A046,Enteritis due to Yersinia enterocolitica
A047,Enterocolitis due to Clostridium difficile
A048,Other specified bacterial intestinal infections
A049,"Bacterial intestinal infection, unspecified"
A05,"Other bacterial foodborne intoxications, not elsewhere classified"
A050,Foodborne staphylococcal intoxication
A051,Botulism
A052,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
A053,Foodborne Vibrio parahaemolyticus intoxication
A054,Foodborne Bacillus cereus intoxication
A058,Other specified bacterial foodborne intoxications
A059,"Bacterial foodborne intoxication, unspecified"
A06,Amoebiasis
A060,Acute amoebic dysentery
A061,Chronic intestinal amoebiasis
A062,Amoebic nondysenteric colitis
A063,Amoeboma of intestine
A064,Amoebic liver abscess
A065,Amoebic lung abscess
A066,Amoebic brain abscess
A067,Cutaneous amoebiasis
A068,Amoebic infection of other sites
A069,"Amoebiasis, unspecified"
A07,Other protozoal intestinal diseases
A070,Balantidiasis
A071,Giardiasis [lambliasis]
A072,Cryptosporidiosis
A073,Isosporiasis
A078,Other specified protozoal intestinal diseases
A079,"Protozoal intestinal disease, unspecified"
A08,Viral and other specified intestinal infections
A080,Rotaviral enteritis
A081,Acute gastroenteropathy due to Norwalk agent
A082,Adenoviral enteritis
A083,Other viral enteritis
A084,"Viral intestinal infection, unspecified"
A085,Other specified intestinal infections
A09,Other gastroenteritis and colitis of infectious and unspecified origin
A090,Other and unspecified gastroenteritis and colitis of infectious origin
A099,Gastroenteritis and colitis of unspecified origin
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
A150,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
A151,"Tuberculosis of lung, confirmed by culture only"
A152,"Tuberculosis of lung, confirmed histologically"
A153,"Tuberculosis of lung, confirmed by unspecified means"
A154,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
A155,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
A156,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
A157,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
A158,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
A159,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically"
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
A160,"Tuberculosis of lung, bacteriologically and histologically negative"
A161,"Tuberculosis of lung, bacteriological and histological examination not done"
A162,"Tuberculosis of lung, without mention of bacteriological or histological confirmation"
A163,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
A164,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"
A165,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
A167,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
A168,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
A169,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"
A17,Tuberculosis of nervous system
A170,Tuberculous meningitis
A171,Meningeal tuberculoma
A178,Other tuberculosis of nervous system
A179,"Tuberculosis of nervous system, unspecified"
A18,Tuberculosis of other organs
A180,Tuberculosis of bones and joints
A181,Tuberculosis of genitourinary system
A182,Tuberculous peripheral lymphadenopathy
A183,"Tuberculosis of intestines, peritoneum and mesenteric glands"
A184,Tuberculosis of skin and subcutaneous tissue
A185,Tuberculosis of eye
A186,Tuberculosis of ear
A187,Tuberculosis of adrenal glands
A188,Tuberculosis of other specified organs
A19,Miliary tuberculosis
A190,Acute miliary tuberculosis of a single specified site
A191,Acute miliary tuberculosis of multiple sites
A192,"Acute miliary tuberculosis, unspecified"
A198,Other miliary tuberculosis
A199,"Miliary tuberculosis, unspecified"
A20,Plague
A200,Bubonic plague
A201,Cellulocutaneous plague
A202,Pneumonic plague
A203,Plague meningitis
A207,Septicaemic plague
A208,Other forms of plague
A209,"Plague, unspecified"
A21,Tularaemia
A210,Ulceroglandular tularaemia
A211,Oculoglandular tularaemia
A212,Pulmonary tularaemia
A213,Gastrointestinal tularaemia
A217,Generalized tularaemia
A218,Other forms of tularaemia
A219,"Tularaemia, unspecified"
A22,Anthrax
A220,Cutaneous anthrax
A221,Pulmonary anthrax
A222,Gastrointestinal anthrax
A227,Anthrax sepsis
A228,Other forms of anthrax
A229,"Anthrax, unspecified"
A23,Brucellosis
A230,Brucellosis due to Brucella melitensis
A231,Brucellosis due to Brucella abortus
A232,Brucellosis due to Brucella suis
A233,Brucellosis due to Brucella canis
A238,Other brucellosis
A239,"Brucellosis, unspecified"
A24,Glanders and melioidosis
A240,Glanders
A241,Acute and fulminating melioidosis
A242,Subacute and chronic melioidosis
A243,Other melioidosis
A244,"Melioidosis, unspecified"
A25,Rat-bite fevers
A250,Spirillosis
A251,Streptobacillosis
A259,"Rat-bite fever, unspecified"
A26,Erysipeloid
A260,Cutaneous erysipeloid
A267,Erysipelothrix sepsis
A268,Other forms of erysipeloid
A269,"Erysipeloid, unspecified"
A27,Leptospirosis
A270,Leptospirosis icterohaemorrhagica
A278,Other forms of leptospirosis
A279,"Leptospirosis, unspecified"
A28,"Other zoonotic bacterial diseases, not elsewhere classified"
